Store ID,Street Address,City,State/Province,Postcode,Latitude,Longitude
7022,"60 Shining Willow Way, La Plata Shopping Center",La Plata,MD,206464224,38.54,-76.98
7023,6675 Crain Hwy.,La Plata,MD,206464287,38.53,-76.98
7024,"6615 Crain Hwy, Vista Gardens",La Plata,MD,206464287,38.54,-76.98
7025,10621 Martin Luther King Jr. Highway,Lanham,MD,207204217,38.96,-76.82
7026,10586 Campus Way South,Largo,MD,207741309,38.9,-76.82
7027,10500 Campus Way S,Largo,MD,207741309,38.9,-76.83
7028,14701 Baltimore Ave,Laurel,MD,20707,39.09,-76.86
7029,"929 Washington Blvd, #80",Laurel,MD,207074811,39.1,-76.85
7030,3343 Laurel Ft Meade Rd,Laurel,MD,20724,39.09,-76.79
7031,"13600 Baltimore Avenue, Suite 308, 1700 W Nursery Rd",Laurel,MD,207079496,39.08,-76.87
7032,"1700 W Nursery Rd, Lusby Commons",Linthicum Heights,MD,210902907,39.2,-76.68
7033,"11738 Rousby Hall Road, Space B101",Lusby,MD,206572606,38.37,-76.44
7034,"815 E Main St, Mount Airy Shopping Center",Middletown,MD,217697722,39.44,-77.53
7035,400 Ridgeville Blvd.,Mount Airy,MD,217715216,39.36,-77.16
7036,337 East Ridgeville Blvd,Mount Airy,MD,217715201,39.37,-77.16
7037,120 Waterfront St,National Harbor,MD,20745,38.79,-77.01
7038,"6800 Oxon Hill Road, 898, Carrollton Shopping Center",National Harbor,MD,20745,38.79,-77
7039,"8498 Annapolis Road, North Bethesda Market",New Carrollton,MD,207843013,38.96,-76.87
7040,"17 Paseo Drive, Perry Hall",North Bethesda,MD,208523001,39.04,-77.11
7041,8910 Belair Road,Nottingham,MD,212362405,39.4,-76.48
7042,12742 Ocean Gateway,Ocean City,MD,218429544,38.34,-75.11
7043,1610 Baltimore Avenue,Ocean City,MD,21842,38.35,-75.08
7044,"1155 Annapolis Rd, Old Silo Inn Shopping Center",Odenton,MD,21113,39.08,-76.69
7045,16806 Georgia Avenue,Olney,MD,208322419,39.13,-77.07
7046,"18169 Town Center Dr, Shoppes at Olney",Olney,MD,208321482,39.15,-77.06
7047,3126 Sandy Spring Road,Olney,MD,208321408,39.15,-77.06
7048,"3333 Spartan Rd, St. Thomas Shopping Center",Olney,MD,208322333,39.15,-77.06
